"","nnd_to_prev","lek_id","date_prev","date_now","period"
"64",2.11503642595392,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"65",18.9668365846622,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"66",27.5629411115075,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"67",26.9718887456893,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"68",52.3870071372585,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"69",35.5606288746893,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"70",52.4451934968326,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"71",22.0203590624767,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"72",0.737031806587536,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"73",1.27041102557551,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"74",8.08423019275737,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"75",16.6088068929523,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"76",1.8920738641509,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"77",37.4273729749106,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"78",41.7095268586694,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"79",35.4403672972497,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"80",66.3920200358355,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"81",3.18954414766785,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"82",2.65055176804508,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"83",4.40799973587635,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"84",4.40445286252556,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"85",12.3846420855726,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"86",3.28558667370047,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"87",7.96870530769364,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"88",1.94740454226177,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"89",3.31974820442316,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"90",3.45428771164484,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"91",10.2516739989833,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"92",2.30421872538648,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"93",11.5264176905185,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"94",14.7322077569815,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"95",0.466960713769889,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"96",0.798087167787494,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"97",13.827235350298,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"98",11.2562380754298,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"99",13.5726545695665,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"100",0.821144122138765,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"101",9.11154304248334,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"102",4.05966218688668,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"103",0.383583672755636,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"104",12.8860277472587,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"105",2.40096367121556,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"106",1.84383402513143,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"107",12.2555323807764,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"108",9.56745704653385,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"109",2.45089395135576,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"110",6.68342700499747,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"111",10.4129575384592,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"112",1.45523669349709,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"113",10.2783410750175,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"114",0.629815387665559,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"115",1.84583810034768,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"116",5.84118052181054,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"117",0.893264264792878,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"118",0.76370253697243,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"119",2.89388306175247,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"120",2.01756676024952,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"121",2.01871744798942,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"122",10.6065699196625,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"123",0.52429730034194,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"124",12.4282699697216,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"125",1.10430241787751,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"126",42.8868256413126,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"127",1.21216202335477,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"128",20.6291127929212,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"129",0.302108068217608,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"130",2.44929305765586,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"131",0.919364134796017,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"132",4.34811480034487,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"133",10.095296516616,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"134",2.12538818532522,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"135",1.16671351600659,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"136",12.5746164458145,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"137",4.01458664336518,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"138",3.65621095211299,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"139",1.53339870796812,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
