nnd_to_prev,x,y,nn_x,nn_y,in_prev_core,dist_to_centre,lek_id,date_prev,date_now,period
7.476345752959748,444448.6500061338,3075212.537389382,444447.39711929706,3075205.1667706566,TRUE,40.438703725737035,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.260036774878445,444451.76004322607,3075150.6721880934,444447.77927444025,3075154.110424087,TRUE,54.03761036709517,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
3.8722012558461025,444440.3673963831,3075258.2483193274,444444.13130858965,3075259.1576638534,FALSE,78.15055586698051,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
6.040279390494297,444361.7866153741,3075123.6078546434,444361.4239231484,3075129.637235164,TRUE,141.27150619016425,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
3.949400950857421,444512.6993202177,3075233.3208804033,444510.5851145235,3075236.656731442,TRUE,48.659639416790206,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
1.3489827231226368,444469.18356450065,3075229.2287143627,444468.27355672314,3075228.232903019,FALSE,38.65651725979427,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.000836428107965,444426.7920333313,3075150.06100868,444431.2039720841,3075147.706616737,TRUE,72.30672661838882,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
8.55250718428955,444396.23340832064,3075113.235290361,444403.68548027263,3075117.4319560328,FALSE,119.3991941958037,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
6.700717815962612,444482.21888421196,3075159.0589744886,444484.65936282225,3075152.8184870556,TRUE,34.72141797208451,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
4.212331781431514,444545.9692839316,3075255.416978561,444547.9114684967,3075251.6791104316,TRUE,87.14298388375674,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
20.973271649598328,444548.75497198803,3075044.889482559,444552.6270494973,3075065.5022247215,FALSE,162.1234465573663,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.9033834228768525,444539.8034831003,3075231.4318619985,444534.8290776557,3075234.6107338597,FALSE,66.9947649932885,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
6.962579920486571,444483.7379371582,3075187.315443486,444477.16954842495,3075185.0059438436,FALSE,6.432181773915482,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
8.502656596964009,444529.2267034499,3075144.7159423395,444520.87814611255,3075143.1044959114,FALSE,66.38047614339129,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
17.930332505088497,444597.15793813556,3075225.196517909,444579.2492945915,3075224.3148659626,FALSE,117.03493892793489,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.835470676814018,444417.9535406433,3075193.043804975,444417.2660289564,3075198.838634196,FALSE,66.48799756009672,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
9.549435460205173,444461.37854569894,3075109.7424353054,444467.35680363595,3075117.1890553203,TRUE,87.07581683100972,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
7.994824539419974,444540.417822905,3075126.2918763054,444539.51902511436,3075118.3477349454,TRUE,87.62898457649035,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
10.873049161525554,444541.59796402574,3075260.531390328,444547.9114684967,3075251.6791104316,TRUE,87.93416427836416,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
4.811626951338307,444387.44024767476,3075094.5587607827,444386.51861072006,3075099.2812960385,TRUE,138.70635107795218,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
10.827682773814141,444516.4377515422,3075283.4697433733,444505.6105829293,3075283.3642252334,TRUE,95.29371148386254,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
4.424857877016791,444389.969048733,3075168.716345461,444394.1873902494,3075167.3803207297,TRUE,97.71936450868145,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.617426408552305,444433.2341422785,3075129.9090961213,444429.30327847594,3075125.89614344,FALSE,81.80668698486126,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
2.2438364219264937,444552.71324912197,3075208.4813195835,444554.45283086336,3075207.064048525,TRUE,69.85478690318288,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
4.574143263230937,444466.9865633442,3075104.225913072,444467.9844084178,3075099.7619359437,TRUE,91.16936414554,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
3.7072670029621753,444577.63602835167,3075046.230801811,444581.11060434487,3075047.5235315966,TRUE,174.4585013899071,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
13.287899615187534,444453.7571297749,3075118.2116257357,444440.8741844505,3075114.9561694004,TRUE,81.49381127530184,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
9.44661304469758,444409.6555656736,3075132.663177353,444417.7635040715,3075137.5108399806,FALSE,96.53540171124169,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
9.824070493301095,444561.1086661575,3075288.239650026,444561.47887868807,3075298.056742454,FALSE,121.71412791989216,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
10.971003151342469,444423.6624108051,3075171.2972543687,444413.2462282175,3075167.852540963,TRUE,64.77654898648899,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
3.151289011816106,444512.3119691724,3075293.856780435,444514.932966424,3075295.606350623,TRUE,103.95405683160425,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
7.297381655658367,444468.8814706869,3075204.8696062723,444464.6419339337,3075198.9300686517,TRUE,19.145819469508584,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
6.245637561144337,444416.48153441754,3075143.623494261,444417.7635040715,3075137.5108399806,TRUE,84.41982296857796,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
3.053890135934129,444597.74064477463,3075189.8975901897,444600.37458053825,3075191.4431086644,TRUE,113.36653970513883,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
16.564191167059512,444363.89798206376,3075099.4070829544,444359.70960048155,3075115.4329959936,TRUE,153.04532446872753,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
1.403050978189439,444571.0131913162,3075106.790049399,444569.7241059599,3075106.23614418,TRUE,122.6792573781546,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
7.045753796491474,444520.17671586655,3075106.078047793,444519.8065293016,3075113.114069998,TRUE,94.63875332573377,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
15.457572790651069,444612.7479945378,3075177.0616366626,444604.51063670946,3075163.9817860294,TRUE,129.38527523442136,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
9.80736269481282,444396.8028010949,3075210.851880733,444395.31697730016,3075201.157723179,TRUE,89.29630006393515,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
5.195653636241626,444455.3625671631,3075218.3559771837,444460.1314341638,3075216.293763752,TRUE,38.11622939885471,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
8.159647996157764,444452.040898549,3075257.153108517,444444.13130858965,3075259.1576638534,TRUE,71.23686309330692,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
8.832790092403867,444424.37830100756,3075204.0763595696,444417.2660289564,3075198.838634196,TRUE,60.94806206212328,TalChhapar_TC,2012-10-01,2014-02-01,Oct12→Feb14
